pair,ligand_symbol,ligand_gene_id,receptor_symbol,receptor_gene_id
A2M_LRP1,A2m,ENSMUSG00000030111,Lrp1,ENSMUSG00000040249
AANAT_MTNR1A,Aanat,ENSMUSG00000020804,Mtnr1a,ENSMUSG00000054764
ACE_AGTR2,Ace,ENSMUSG00000020681,Agtr2,ENSMUSG00000068122
ACE_BDKRB2,Ace,ENSMUSG00000020681,Bdkrb2,ENSMUSG00000021070
ADAM10_AXL,Adam10,ENSMUSG00000054693,Axl,ENSMUSG00000002602
ADAM10_EPHA3,Adam10,ENSMUSG00000054693,Epha3,ENSMUSG00000052504
ADAM12_ITGA9,Adam12,ENSMUSG00000054555,Itga9,ENSMUSG00000039115
ADAM12_ITGB1,Adam12,ENSMUSG00000054555,Itgb1,ENSMUSG00000025809
ADAM12_SDC4,Adam12,ENSMUSG00000054555,Sdc4,ENSMUSG00000017009
ADAM15_ITGA5,Adam15,ENSMUSG00000028041,Itga5,ENSMUSG00000000555
ADAM15_ITGA9,Adam15,ENSMUSG00000028041,Itga9,ENSMUSG00000039115
ADAM15_ITGAV,Adam15,ENSMUSG00000028041,Itgav,ENSMUSG00000027087
ADAM15_ITGB1,Adam15,ENSMUSG00000028041,Itgb1,ENSMUSG00000025809
ADAM15_ITGB3,Adam15,ENSMUSG00000028041,Itgb3,ENSMUSG00000020689
ADAM17_ERBB4,Adam17,ENSMUSG00000052593,Erbb4,ENSMUSG00000062209
ADAM17_ITGA5,Adam17,ENSMUSG00000052593,Itga5,ENSMUSG00000000555
ADAM17_ITGB1,Adam17,ENSMUSG00000052593,Itgb1,ENSMUSG00000025809
ADAM17_NOTCH1,Adam17,ENSMUSG00000052593,Notch1,ENSMUSG00000026923
ADAM2_CD9,Adam2,ENSMUSG00000022039,Cd9,ENSMUSG00000030342
ADAM2_ITGA6,Adam2,ENSMUSG00000022039,Itga6,ENSMUSG00000027111
ADAM2_ITGA9,Adam2,ENSMUSG00000022039,Itga9,ENSMUSG00000039115
ADAM2_ITGB1,Adam2,ENSMUSG00000022039,Itgb1,ENSMUSG00000025809
ADAM2_ITGB7,Adam2,ENSMUSG00000022039,Itgb7,ENSMUSG00000001281
ADAM23_ITGA5,Adam23,ENSMUSG00000025964,Itga5,ENSMUSG00000000555
ADAM23_ITGB3,Adam23,ENSMUSG00000025964,Itgb3,ENSMUSG00000020689
ADAM28_ITGA4,Adam28,ENSMUSG00000014725,Itga4,ENSMUSG00000027009
ADAM9_ITGA3,Adam9,ENSMUSG00000031555,Itga3,ENSMUSG00000001507
ADAM9_ITGA6,Adam9,ENSMUSG00000031555,Itga6,ENSMUSG00000027111
ADAM9_ITGAV,Adam9,ENSMUSG00000031555,Itgav,ENSMUSG00000027087
ADAM9_ITGB1,Adam9,ENSMUSG00000031555,Itgb1,ENSMUSG00000025809
ADAM9_ITGB5,Adam9,ENSMUSG00000031555,Itgb5,ENSMUSG00000022817
ADCYAP1_ADCYAP1R1,Adcyap1,ENSMUSG00000024256,Adcyap1r1,ENSMUSG00000029778
ADCYAP1_SCTR,Adcyap1,ENSMUSG00000024256,Sctr,ENSMUSG00000026387
ADCYAP1_VIPR1,Adcyap1,ENSMUSG00000024256,Vipr1,ENSMUSG00000032528
ADCYAP1_VIPR2,Adcyap1,ENSMUSG00000024256,Vipr2,ENSMUSG00000011171
ADIPOQ_ADIPOR1,Adipoq,ENSMUSG00000022878,Adipor1,ENSMUSG00000026457
ADIPOQ_ADIPOR2,Adipoq,ENSMUSG00000022878,Adipor2,ENSMUSG00000030168
ADM_CALCR,Adm,ENSMUSG00000030790,Calcr,ENSMUSG00000023964
ADM_CALCRL,Adm,ENSMUSG00000030790,Calcrl,ENSMUSG00000059588
ADM_GPR182,Adm,ENSMUSG00000030790,Gpr182,ENSMUSG00000058396
ADM_RAMP2,Adm,ENSMUSG00000030790,Ramp2,ENSMUSG00000001240
ADM2_CALCR,Adm2,ENSMUSG00000054136,Calcr,ENSMUSG00000023964
ADM2_CALCRL,Adm2,ENSMUSG00000054136,Calcrl,ENSMUSG00000059588
ADM2_RAMP1,Adm2,ENSMUSG00000054136,Ramp1,ENSMUSG00000034353
AGRN_ATP1A3,Agrn,ENSMUSG00000041936,Atp1a3,ENSMUSG00000040907
AGRN_LRP4,Agrn,ENSMUSG00000041936,Lrp4,ENSMUSG00000027253
AGRN_MUSK,Agrn,ENSMUSG00000041936,Musk,ENSMUSG00000057280
AGRP_MC3R,Agrp,ENSMUSG00000005705,Mc3r,ENSMUSG00000038537
AGRP_MC4R,Agrp,ENSMUSG00000005705,Mc4r,ENSMUSG00000047259
AGRP_MC5R,Agrp,ENSMUSG00000005705,Mc5r,ENSMUSG00000007480
AGRP_SDC3,Agrp,ENSMUSG00000005705,Sdc3,ENSMUSG00000025743
AGT_AGTR2,Agt,ENSMUSG00000031980,Agtr2,ENSMUSG00000068122
AGT_LRP2,Agt,ENSMUSG00000031980,Lrp2,ENSMUSG00000027070
AGT_MAS1,Agt,ENSMUSG00000031980,Mas1,ENSMUSG00000068037
AHSG_INSR,Ahsg,ENSMUSG00000022868,Insr,ENSMUSG00000005534
